"Work Item Type","Title 1","Title 2","Title 3","Description","Acceptance Criteria","Story Points","Tags","Priority","State","Area Path","Iteration Path","Assigned To"
"Feature","","Digitaal Herstel Van Onvolledige Aanvragen","","<p>Stelt de inwoner in staat een onvolledige aanvraag digitaal aan te vullen binnen de hersteltermijn (acceptatiecriteria O/K, PvE 35/58) zodat de behandeling doorloopt zonder papieren traject. De inwoner ziet wat ontbreekt en hoeveel tijd resteert.</p>","<ul><li>Bij een onvolledige aanvraag wordt de inwoner geinformeerd over wat ontbreekt en binnen welke hersteltermijn</li><li>De inwoner kan ontbrekende gegevens en/of documenten digitaal aanleveren bij de bestaande zaak (zie Feature 9.2)</li><li>De resterende hersteltermijn is voor de inwoner zichtbaar</li><li>Na tijdige aanvulling loopt de behandeling door en wordt het herstel vastgelegd bij de zaak</li><li>Een aanvulling na het verstrijken van de hersteltermijn wordt als zodanig herkenbaar afgehandeld</li></ul>","","inwonerportaal; zelf-regelen; aanvragen; epic-7; herstel","2","New","Verius","Verius",""
"User Story","","","S7.10.1: Onvolledige aanvraag digitaal aanvullen binnen hersteltermijn","<p>Als inwoner</p><p>Ik wil een onvolledige aanvraag digitaal kunnen aanvullen binnen de hersteltermijn</p><p>Zodat mijn aanvraag in behandeling kan blijven zonder papieren traject</p>","<ul><li>Bij een onvolledige aanvraag wordt de inwoner geinformeerd over wat ontbreekt en binnen welke hersteltermijn dit aangevuld moet worden</li><li>De inwoner kan de ontbrekende gegevens en/of documenten digitaal aanleveren bij de bestaande aanvraag/zaak (zie Feature 9.2)</li><li>De resterende hersteltermijn is voor de inwoner zichtbaar</li><li>Na (tijdige) aanvulling loopt de behandeling van de aanvraag door; het herstel wordt vastgelegd bij de zaak</li><li>Een aanvulling na het verstrijken van de hersteltermijn wordt herkenbaar afgehandeld</li></ul>","5","inwonerportaal; zelf-regelen; aanvragen; epic-7; herstel","2","New","Verius","Verius",""
"Epic","Inrichting En Beheer","","","<p>For (Who): functioneel beheerder die bepaalt wat zichtbaar en mogelijk is in het portaal</p><p>The (Is a): Inwonerportaal Verius Samen</p><p>That: publicatie en inrichting van zaaktype-processen, statussen, documenttypen, producten en webformulieren</p><p>Our solution: beheerfuncties die per onderdeel sturen wat de inwoner ziet, randvoorwaardelijk voor Epics 3 t/m 7, conform de niet-functionele PvE-kaders (U3/U4/U5)</p><p>Success criteria:</p><ul><li>Beheerder bepaalt per zaaktype-proces, status, documenttype en product de zichtbaarheid en publieksomschrijving</li><li>Webformulieren zijn in te richten en koppelbaar aan zaaktype-processen</li><li>Inrichting borgt geen dubbele registratie en geintegreerde processen</li></ul><p>In scope: functionele inrichting en publicatie</p><p>Out of scope: techniek-NFR's (performance/security/AVG-logging) buiten opschoning; deze horen in het project-/contractplan</p>","","","inwonerportaal; beheer; inrichting; epic-8","1","New","Verius","Verius",""
"Feature","","Zaaktype-processen Publiceren","","<p>Stelt de functioneel beheerder in staat per zaaktype-proces in te stellen of het zichtbaar is in het portaal zodat de juiste zaken onder Lopende zaken verschijnen. Per zichtbaar proces wordt de DigiD-inwonerrol gekoppeld en moeten bijbehorende statussen ook gepubliceerd zijn.</p>","<ul><li>Bij Omschrijving generiek wordt de publieksvriendelijke zaaknaam ingevuld</li><li>Per zichtbaar proces wordt de rol [_system] via DigiD ingelogde inwoner gekoppeld</li><li>Bij elk gepubliceerd proces moeten de bijbehorende statussen ook gepubliceerd zijn (zie Feature 8.2)</li><li>Een niet-gepubliceerd proces verschijnt niet onder Lopende zaken</li></ul>","","inwonerportaal; beheer; inrichting; epic-8; zaaktype","1","New","Verius","Verius",""
"User Story","","","S8.1.1: Zichtbaarheid van zaaktype-proces instellen","<p>Als functioneel beheerder</p><p>Ik wil per zaaktype-proces instellen of het zichtbaar is in het portaal</p><p>Zodat de juiste zaken onder Lopende zaken verschijnen</p>","<ul><li>Via Beheer > Zaaksysteem > Zaaktype processen (RC) wordt bij Omschrijving generiek de publieksvriendelijke zaaknaam ingevuld</li><li>Per zichtbaar proces wordt de rol [_system] via DigiD ingelogde inwoner gekoppeld onder Gekoppelde rollen / teams</li><li>Bij elk gepubliceerd proces moeten de bijbehorende statussen ook gepubliceerd zijn (zie Feature 8.2)</li><li>Een niet-gekoppeld of niet-gepubliceerd proces verschijnt niet bij de inwoner</li></ul>","3","inwonerportaal; beheer; inrichting; epic-8; zaaktype","2","New","Verius","Verius",""
"Feature","","Zaakstatussen Publiceren En Inrichten","","<p>Stelt de functioneel beheerder in staat bestaande zaakstatussen te publiceren met publieksvriendelijke omschrijving en nieuwe statussen toe te voegen en te koppelen, zodat de inwoner een begrijpelijke en actuele status ziet.</p>","<ul><li>Bij Omschrijving generiek wordt de publieksvriendelijke status ingevuld en Publiceren op digitaal loket aangevinkt</li><li>De zaak toont in het portaal de meest recente status waarbij dit vinkje aanstaat</li><li>Nieuwe statussen kunnen worden toegevoegd, gepubliceerd als processtap en gekoppeld aan zaaktype-proces en zaaktype</li><li>Een niet-gepubliceerde status wordt niet aan de inwoner getoond</li></ul>","","inwonerportaal; beheer; inrichting; epic-8; status","2","New","Verius","Verius",""
"User Story","","","S8.2.1: Bestaande zaakstatussen publiceren","<p>Als functioneel beheerder</p><p>Ik wil bestaande zaakstatussen publiceren op het portaal</p><p>Zodat de inwoner een begrijpelijke status ziet</p>","<ul><li>Via Beheer > Zaaksysteem > Zaakstatussen wordt bij Omschrijving generiek de publieksvriendelijke status ingevuld en Publiceren op digitaal loket aangevinkt</li><li>De zaak toont in het portaal de meest recente status waarbij dit vinkje aanstaat</li><li>Een status zonder aangevinkt vinkje wordt niet getoond</li></ul>","3","inwonerportaal; beheer; inrichting; epic-8; status","2","New","Verius","Verius",""
"User Story","","","S8.2.2: Nieuwe zaakstatussen toevoegen en koppelen","<p>Als functioneel beheerder</p><p>Ik wil nieuwe zaakstatussen kunnen toevoegen en koppelen</p><p>Zodat ik statussen kan tonen die nog niet bestaan</p>","<ul><li>Nieuwe status toevoegen, publiceren als processtap, koppelen aan het zaaktype-proces (Gekoppelde rule definities) en aan het zaaktype (Gekoppelde status(sen))</li><li>De nieuwe status verschijnt na publicatie bij de betreffende zaken</li><li>Een toegevoegde maar niet-gekoppelde status verschijnt niet bij de inwoner</li></ul>","3","inwonerportaal; beheer; inrichting; epic-8; status","2","New","Verius","Verius",""
"Feature","","Documenttypen Publiceren","","<p>Stelt de functioneel beheerder in staat per documenttype in te stellen of documenten zichtbaar zijn in het portaal en nieuwe documenttypen toe te voegen en te koppelen, zodat de juiste documenten van (nieuwe) aanvragen getoond worden.</p>","<ul><li>Bij Omschrijving generiek wordt de publieksvriendelijke naam ingevuld en Publiceren op digitaal loket aangevinkt</li><li>Nieuwe documenttypen kunnen worden toegevoegd en gekoppeld aan zaaktype-proces, zaaktype en documentsjablonen</li><li>Alleen gepubliceerde documenttypen worden in het portaal getoond</li><li>Een niet-gepubliceerd documenttype verschijnt niet bij de inwoner</li></ul>","","inwonerportaal; beheer; inrichting; epic-8; documenttype","2","New","Verius","Verius",""
"User Story","","","S8.3.1: Zichtbaarheid van documenttype instellen","<p>Als functioneel beheerder</p><p>Ik wil per documenttype instellen of documenten zichtbaar zijn in het portaal</p><p>Zodat de juiste documenten getoond worden</p>","<ul><li>Via Beheer > Zaaksysteem > Documenttypen wordt bij Omschrijving generiek de publieksvriendelijke naam ingevuld en Publiceren op digitaal loket aangevinkt</li><li>Alleen gepubliceerde documenttypen worden in het portaal getoond</li><li>Een niet-gepubliceerd documenttype verschijnt niet bij de inwoner</li></ul>","3","inwonerportaal; beheer; inrichting; epic-8; documenttype","2","New","Verius","Verius",""
"User Story","","","S8.3.2: Nieuwe documenttypen toevoegen en koppelen","<p>Als functioneel beheerder</p><p>Ik wil nieuwe documenttypen kunnen toevoegen en koppelen</p><p>Zodat documenten van nieuwe aanvragen getoond kunnen worden</p>","<ul><li>Nieuw documenttype toevoegen, koppelen aan zaaktype-proces, zaaktype (Gekoppelde documenttype(n)) en waar nodig aan documentsjablonen</li><li>Het gekoppelde en gepubliceerde documenttype verschijnt bij de betreffende documenten</li><li>Een toegevoegd maar niet-gekoppeld documenttype verschijnt niet bij de inwoner</li></ul>","3","inwonerportaal; beheer; inrichting; epic-8; documenttype","2","New","Verius","Verius",""
"Feature","","Producten En Omschrijvingen Inrichten","","<p>Stelt de functioneel beheerder in staat de publieksomschrijving van producten in te stellen zodat Wmo-, Jeugdwet- en uitkeringsregels begrijpelijk worden weergegeven in het portaal.</p>","<ul><li>Bij Omschrijving generiek wordt de portaal-omschrijving ingevuld per product (kostensoort/verstrekking)</li><li>De ingevulde omschrijving verschijnt bij de betreffende voorzieningen en uitkeringen</li><li>Een product zonder generieke omschrijving valt herkenbaar terug op een passende weergave in plaats van een interne code</li></ul>","","inwonerportaal; beheer; inrichting; epic-8; producten","2","New","Verius","Verius",""
"User Story","","","S8.4.1: Publieksomschrijving van producten instellen","<p>Als functioneel beheerder</p><p>Ik wil de publieksomschrijving van producten instellen</p><p>Zodat Wmo-, Jeugdwet- en uitkeringsregels begrijpelijk worden weergegeven</p>","<ul><li>Via Beheer > Producten wordt bij Omschrijving generiek de portaal-omschrijving ingevuld per product (kostensoort/verstrekking)</li><li>De ingevulde omschrijving verschijnt bij de betreffende voorzieningen/uitkeringen in het portaal</li><li>Een product zonder generieke omschrijving toont geen interne code aan de inwoner</li></ul>","2","inwonerportaal; beheer; inrichting; epic-8; producten","2","New","Verius","Verius",""
"Feature","","Aanvragen En Webformulieren Inrichten","","<p>Stelt de functioneel beheerder in staat webformulieren in te richten conform de Freshdesk-handleiding, meerdere formulieren aan een zaaktype-proces te koppelen (Westerkwartier #3) en de ontwerpkeuze rond gecombineerde aanvragen vast te leggen (Westerkwartier #22). Dit voorkomt dubbele inrichting.</p>","<ul><li>Inrichting verloopt conform de handleiding Webformulieren (Freshdesk)</li><li>Meerdere webformulieren/vragenlijsten kunnen aan een zaaktype-proces gekoppeld worden</li><li>De ontwerpkeuze rond meerdere/gecombineerde digitale aanvragen per zaak is vastgelegd</li><li>Het portaal haalt de webformulier-/vragenlijstdefinitie dynamisch uit X-Works op (een bron, geen eigen kopie)</li><li>Een onjuist of niet-gekoppeld formulier leidt niet tot een startbare aanvraag voor de inwoner</li></ul>","","inwonerportaal; beheer; inrichting; epic-8; webformulieren","2","New","Verius","Verius",""
"User Story","","","S8.5.1: Webformulieren inrichten","<p>Als functioneel beheerder</p><p>Ik wil webformulieren inrichten</p><p>Zodat inwoners zelfstandig aanvragen kunnen indienen</p>","<ul><li>Inrichting verloopt conform de handleiding Webformulieren (Freshdesk)</li><li>Een ingericht en gekoppeld webformulier is door de inwoner startbaar</li><li>Een onvolledig ingericht formulier wordt niet als startbare aanvraag aangeboden</li></ul>","3","inwonerportaal; beheer; inrichting; epic-8; webformulieren","2","New","Verius","Verius",""
"User Story","","","S8.5.2: Meerdere webformulieren aan een zaaktype-proces koppelen","<p>Als functioneel beheerder</p><p>Ik wil meerdere webformulieren/vragenlijsten kunnen koppelen aan een zaaktype-proces</p><p>Zodat een zaaktype via verschillende formulieren gestart kan worden</p>","<ul><li>Een zaaktype-proces kan meerdere processtappen Vragenlijst / webformulieren bevatten</li><li>Elk gekoppeld formulier kan het zaaktype-proces starten</li><li>Bevinding Westerkwartier #3 is afgedekt</li></ul>","3","inwonerportaal; beheer; inrichting; epic-8; webformulieren","2","New","Verius","Verius",""
"User Story","","","S8.5.3: Ontwerpkeuze digitale en fysieke aanvragen vastleggen","<p>Als functioneel beheerder</p><p>Ik wil weten hoe digitale en fysieke aanvragen zich verhouden en of meerdere digitale aanvragen aan een zaak gekoppeld kunnen worden</p><p>Zodat ik dubbele inrichting voorkom</p>","<ul><li>Ontwerpkeuze vast te leggen: kunnen meerdere digitale aanvragen (bijv. verschillende aanvragen bijzondere bijstand) in een proces/zaak gecombineerd worden, of is gescheiden inrichting nodig</li><li>De vastgelegde keuze is herleidbaar voor de inrichting (bevinding Westerkwartier #22, C2 nog open)</li><li>Zonder vastgelegde keuze wordt geen dubbele inrichting afgedwongen</li></ul>","3","inwonerportaal; beheer; inrichting; epic-8; webformulieren","2","New","Verius","Verius",""
"User Story","","","S8.5.4: Vragenlijstdefinitie dynamisch uit X-Works ophalen","<p>Als systeem</p><p>Ik wil de vragenlijst-/webformulier-definitie dynamisch uit X-Works ophalen</p><p>Zodat het portaal formulieren toont vanuit een bron zonder eigen kopie en het beheer in X-Works blijft</p>","<ul><li>Het portaal haalt de catalogus van beschikbare vragenlijsten op uit X-Works (query over VRAGENLIJSTTEMPLATE per ADMINISTRATION)</li><li>Het portaal haalt per formulier de volledige definitie (vragen, veldtypen/widgets, opties, condities, routing) op uit X-Works (wiz-vltmpl00-getocc, VRAGENLIJSTTEMPLATE.SC_XMLDATA)</li><li>Het portaal houdt geen eigen kopie van de template aan; een wijziging in de inrichting is na ophalen direct zichtbaar voor de inwoner</li><li>Veldtypen, verplicht-markering en opties komen uit de metadata (CD_WIDGETTYPE, CD_BRONANTWOORD/VC_BRONANTWOORD)</li><li>Bij een onbekend/niet-gepubliceerd formulier of een mislukte ophaalactie krijgt de inwoner een nette foutmelding, geen halve render</li></ul>","5","inwonerportaal; beheer; inrichting; epic-8; webformulieren; integratie; enabler","1","New","Verius","Verius",""
"Epic","Notificaties En Tweerichtingscommunicatie","","","<p>For (Who): inwoner die actief geinformeerd wil worden en wil communiceren met de gemeente</p><p>The (Is a): Inwonerportaal Verius Samen</p><p>That: notificaties bij voortgang, aanleveren van documenten bij een bestaande zaak en tweerichtingsberichten met de professional</p><p>Our solution: notificaties bij statuswijziging/besluit, uploadfunctie bij lopende zaken en een berichtenkanaal met de behandelend professional (PvE NvI, bevindingen Westerkwartier #4/#28)</p><p>Success criteria:</p><ul><li>Inwoner ontvangt notificatie bij statuswijziging of besluit</li><li>Inwoner kan aanvullende stukken bij een bestaande zaak aanleveren</li><li>Inwoner en professional kunnen berichten uitwisselen gekoppeld aan de zaak</li></ul><p>In scope: notificaties, documentupload bij zaak en tweerichtingsberichten</p><p>Out of scope: nieuwe zaak starten via upload (gaat via Epic 7)</p>","","","inwonerportaal; communicatie; notificaties; epic-9","2","New","Verius","Verius",""
"Feature","","Notificaties Bij Voortgang","","<p>Informeert de inwoner actief bij een statuswijziging of genomen besluit via een in te richten kanaal en stelt de gemeente in staat aanvullende stukken op te vragen (bevindingen Westerkwartier #4/#28). Dit voorkomt dat de inwoner zelf moet blijven controleren.</p>","<ul><li>Bij een statuswijziging of besluit ontvangt de inwoner een notificatie</li><li>Het kanaal is in te richten: portaalnotificatie, e-mail en/of sms</li><li>Notificaties houden rekening met beveiligd mailen waar nodig</li><li>De gemeente kan een verzoek om aanvullende stukken naar de inwoner sturen</li></ul>","","inwonerportaal; communicatie; notificaties; epic-9; notificatie","2","New","Verius","Verius",""
"User Story","","","S9.1.1: Notificatie bij statuswijziging of besluit ontvangen","<p>Als inwoner</p><p>Ik wil een notificatie ontvangen bij een statuswijziging of genomen besluit</p><p>Zodat ik op de hoogte blijf zonder zelf te hoeven controleren</p>","<ul><li>Bij een statuswijziging of besluit ontvangt de inwoner een notificatie (kanaal in te richten: portaalnotificatie, e-mail en/of sms)</li><li>Notificaties houden rekening met beveiligd mailen waar nodig (zie Feature 7.5)</li><li>Bij ontbrekend e-mailadres/telefoonnummer wordt geen mislukte notificatie afgedwongen</li></ul>","3","inwonerportaal; communicatie; notificaties; epic-9; notificatie","2","New","Verius","Verius",""
"User Story","","","S9.1.2: Verzoek om aanvullende stukken sturen","<p>Als gemeente</p><p>Ik wil de inwoner kunnen verzoeken aanvullende stukken aan te leveren</p><p>Zodat de behandeling kan doorlopen</p>","<ul><li>De gemeente kan een verzoek om aanvullende stukken naar de inwoner sturen</li><li>De inwoner ontvangt het verzoek via het ingerichte notificatiekanaal</li><li>Het verzoek is gekoppeld aan de betreffende zaak</li></ul>","3","inwonerportaal; communicatie; notificaties; epic-9; notificatie","2","New","Verius","Verius",""
"Feature","","Documenten Aanleveren Bij Bestaande Zaak","","<p>Stelt de inwoner in staat aanvullende bewijsstukken toe te voegen aan een bestaande aanvraag/zaak (bevinding Westerkwartier #28) zonder een nieuwe zaak te starten, zodat het voor inwoner en medewerker efficient en overzichtelijk blijft.</p>","<ul><li>De inwoner kan documenten uploaden bij een lopende zaak</li><li>Aangeleverde stukken komen bij de bestaande zaak terecht, niet als losse nieuwe zaak</li><li>De upload is herkenbaar gekoppeld aan de juiste zaak</li><li>Een mislukte of leeg geuploade upload wordt niet als geldig stuk geregistreerd</li></ul>","","inwonerportaal; communicatie; notificaties; epic-9; upload","2","New","Verius","Verius",""
"User Story","","","S9.2.1: Bewijsstukken toevoegen aan bestaande zaak","<p>Als inwoner</p><p>Ik wil aanvullende bewijsstukken kunnen toevoegen aan een bestaande aanvraag/zaak</p><p>Zodat ik hiervoor geen nieuwe zaak hoef te starten</p>","<ul><li>De inwoner kan documenten uploaden bij een lopende zaak</li><li>Aangeleverde stukken komen bij de bestaande zaak terecht (niet als losse nieuwe zaak), zodat het voor inwoner en medewerker efficient en overzichtelijk blijft</li><li>Een mislukte of lege upload wordt niet als geldig stuk bij de zaak geregistreerd (bevinding Westerkwartier #28)</li></ul>","3","inwonerportaal; communicatie; notificaties; epic-9; upload","2","New","Verius","Verius",""
"Feature","","Tweerichtingsberichten Met Professional","","<p>Stelt de inwoner in staat berichten te sturen naar en te ontvangen van de behandelend professional (PvE NvI self-service), gekoppeld aan de betreffende zaak/aanvraag, zodat communicatie direct in het portaal verloopt.</p>","<ul><li>De inwoner kan een bericht naar de behandelend professional sturen</li><li>De inwoner ontvangt en leest reacties van de professional in het portaal</li><li>Berichten zijn gekoppeld aan de betreffende zaak/aanvraag</li><li>Een bericht zonder gekoppelde zaak wordt niet ongericht verzonden</li></ul>","","inwonerportaal; communicatie; notificaties; epic-9; berichten","2","New","Verius","Verius",""
"User Story","","","S9.3.1: Berichten uitwisselen met de professional","<p>Als inwoner</p><p>Ik wil berichten kunnen sturen naar en ontvangen van de gemeenteprofessional</p><p>Zodat ik direct in het portaal kan communiceren over mijn aanvraag/zaak</p>","<ul><li>De inwoner kan een bericht naar de behandelend professional sturen</li><li>De inwoner ontvangt en leest reacties van de professional in het portaal</li><li>Berichten zijn gekoppeld aan de betreffende zaak/aanvraag</li><li>Een leeg bericht wordt niet verzonden (PvE NvI self-service)</li></ul>","5","inwonerportaal; communicatie; notificaties; epic-9; berichten","2","New","Verius","Verius",""
"Epic","Optionele Modules Via WIZportaal-koppeling","","","<p>For (Who): inwoner, gemeente en contactpersoon bij gemeenten die WIZportaal-modules gebruiken</p><p>The (Is a): Inwonerportaal Verius Samen</p><p>That: configureerbare, per omgeving in- en uitschakelbare modules uit een tweede systeem (afspraken, integraal plan, toegangsbeheer, contactpersonenportaal en alternatieve inlog)</p><p>Our solution: optionele modules ontsloten binnen het ene integrale portaal (conform U1), afhankelijk van een WIZportaal-koppeling en uitschakelbaar bij ontbreken daarvan</p><p>Success criteria:</p><ul><li>Elke module is per omgeving/gemeente aan/uit te zetten</li><li>Bij ontbrekende koppeling of inrichting is de module niet zichtbaar voor de inwoner</li><li>Reeds elders afgedekte functionaliteit wordt niet herhaald</li></ul><p>In scope: afspraken, integraal plan, toegangsbeheer, contactpersonenportaal, alternatieve inlog</p><p>Out of scope: functionaliteit al gedekt in Epic 1 (DigiD) en Feature 9.2/Story 9.1.2 (upload + melding)</p>","","","inwonerportaal; wizportaal; optioneel; configureerbaar; epic-10","2","New","Verius","Verius",""
"Feature","","Afspraken Inzien","","<p>Stelt de inwoner in staat zijn geplande afspraken in te zien, overeenkomend met de agenda-items uit WIZportaal. De module is configureerbaar en alleen actief bij een werkende agenda-koppeling.</p>","<ul><li>De inwoner ziet alle geplande afspraken; afspraken uit het verleden zijn niet zichtbaar</li><li>De afspraken komen overeen met de agenda-items uit WIZportaal</li><li>De module Afspraken is aan/uit te zetten</li><li>Zonder werkende agenda-koppeling is de module niet actief/zichtbaar</li></ul>","","inwonerportaal; wizportaal; optioneel; configureerbaar; epic-10; afspraken","2","New","Verius","Verius",""
"User Story","","","S10.1.1: Geplande afspraken inzien","<p>Als inwoner</p><p>Ik wil mijn geplande afspraken inzien</p><p>Zodat ik weet wat er gepland staat</p>","<ul><li>De inwoner ziet alle geplande afspraken; afspraken uit het verleden zijn niet zichtbaar</li><li>De afspraken komen overeen met de agenda-items uit WIZportaal</li><li>De module Afspraken is aan/uit te zetten en is alleen actief bij een werkende agenda-koppeling met WIZportaal</li><li>Zonder koppeling is de module niet zichtbaar voor de inwoner</li></ul>","3","inwonerportaal; wizportaal; optioneel; configureerbaar; epic-10; afspraken","2","New","Verius","Verius",""
"Feature","","Integraal Plan","","<p>Stelt de inwoner in staat zijn Integraal Plan in te zien en aan te vullen met acties en voortgang bij doelen, terwijl de gemeente de toegang per groepering regelt. De module is configureerbaar en vereist inrichting in WIZportaal.</p>","<ul><li>De inwoner kan het Integraal Plan inzien en aanvullen</li><li>De inwoner kan acties en voortgang toevoegen bij doelen</li><li>Toegang (inzien/bewerken) is per groepering instelbaar</li><li>Zonder inrichting/koppeling in WIZportaal is de module niet beschikbaar</li></ul>","","inwonerportaal; wizportaal; optioneel; configureerbaar; epic-10; integraal-plan","2","New","Verius","Verius",""
"User Story","","","S10.2.1: Integraal Plan inzien en aanvullen","<p>Als inwoner</p><p>Ik wil mijn Integraal Plan inzien en aanvullen</p><p>Zodat ik kan meewerken aan mijn eigen plan</p>","<ul><li>De inwoner kan het Integraal Plan inzien en aanvullen</li><li>De inwoner kan acties en voortgang toevoegen bij doelen</li><li>Voorwaarde: het Integraal Plan is eerst ingericht in WIZportaal</li><li>Zonder inrichting in WIZportaal is de module niet beschikbaar</li></ul>","5","inwonerportaal; wizportaal; optioneel; configureerbaar; epic-10; integraal-plan","2","New","Verius","Verius",""
"User Story","","","S10.2.2: Toegang tot Integraal Plan regelen","<p>Als gemeente</p><p>Ik wil de toegang tot het Integraal Plan kunnen regelen</p><p>Zodat de inwoner alleen ziet/bewerkt wat is toegestaan</p>","<ul><li>Toegang (inzien/bewerken) is per groepering instelbaar</li><li>De module Integraal Plan is aan/uit te zetten</li><li>Zonder inrichting/koppeling in WIZportaal is de module niet beschikbaar</li><li>Een inwoner ziet of bewerkt niet meer dan toegestaan per groepering</li></ul>","5","inwonerportaal; wizportaal; optioneel; configureerbaar; epic-10; integraal-plan","2","New","Verius","Verius",""
"Feature","","Toegang En Zichtbaarheid (beheer)","","<p>Stelt de gemeente in staat per persoon en per traject te bepalen wat zichtbaar is in het inwonerportaal en geeft de toegewezen professional inzage in de burgerpagina. Dit borgt dat alleen passende informatie wordt getoond.</p>","<ul><li>Toegang voor de inwoner wordt verleend door inzage in eigen dossier op ja te zetten</li><li>Per traject is traject onzichtbaar voor persoon in/uit te schakelen</li><li>Instelling is configureerbaar per persoon en per traject</li><li>De professional kan de burgerpagina via de persoonspagina openen</li></ul>","","inwonerportaal; wizportaal; optioneel; configureerbaar; epic-10; toegang","2","New","Verius","Verius",""
"User Story","","","S10.3.1: Zichtbaarheid per persoon en traject bepalen","<p>Als gemeente</p><p>Ik wil per persoon en per traject bepalen wat zichtbaar is in het inwonerportaal</p><p>Zodat alleen passende informatie wordt getoond</p>","<ul><li>Toegang voor de inwoner wordt verleend door inzage in eigen dossier op ja te zetten op de persoonsdetailpagina</li><li>Per traject is traject onzichtbaar voor persoon in/uit te schakelen</li><li>Instelling is configureerbaar per persoon en per traject</li><li>Een traject dat op onzichtbaar staat wordt niet aan de inwoner getoond</li></ul>","3","inwonerportaal; wizportaal; optioneel; configureerbaar; epic-10; toegang","2","New","Verius","Verius",""
"User Story","","","S10.3.2: Burgerpagina van inwoner inzien","<p>Als toegewezen professional</p><p>Ik wil het inwonerportaal van de inwoner kunnen inzien</p><p>Zodat ik kan zien wat de inwoner ziet</p>","<ul><li>De professional opent de burgerpagina via de persoonspagina (drie puntjes naast de naam, burgerpagina)</li><li>De burgerpagina toont wat de inwoner zelf ziet</li><li>Een niet-toegewezen professional krijgt geen inzage in de burgerpagina</li></ul>","3","inwonerportaal; wizportaal; optioneel; configureerbaar; epic-10; toegang","2","New","Verius","Verius",""
"Feature","","Contactpersonenportaal","","<p>Biedt externe contactpersonen (bijv. zorgverleners) via een eigen portaal inzage in het Integraal Plan, met door de gemeente instelbare toegang en rechten per contactpersoon en automatisch toegestuurde inloggegevens. Het portaal is als geheel configureerbaar en afhankelijk van de WIZportaal-koppeling.</p>","<ul><li>Er is een apart contactpersonenportaal, bereikbaar via dezelfde URL als WIZportaal</li><li>Toegang en rechten zijn per contactpersoon en per Integraal Plan instelbaar</li><li>De contactpersoon ontvangt automatisch een e-mail met inloggegevens</li><li>Het contactpersonenportaal is als geheel aan/uit te zetten en afhankelijk van de WIZportaal-koppeling</li></ul>","","inwonerportaal; wizportaal; optioneel; configureerbaar; epic-10; contactpersoon","2","New","Verius","Verius",""
"User Story","","","S10.4.1: Contactpersoon inzage in Integraal Plan","<p>Als contactpersoon (bijv. zorgverlener of professional van een andere organisatie)</p><p>Ik wil via een eigen portaal inzage hebben in het Integraal Plan</p><p>Zodat ik kan meekijken/meewerken</p>","<ul><li>Er is een apart contactpersonenportaal, bereikbaar via dezelfde URL als WIZportaal</li><li>De contactpersoon ziet het Integraal Plan waarvoor inzage is verleend</li><li>Zonder verleende inzage of zonder WIZportaal-koppeling is geen inzage mogelijk</li></ul>","3","inwonerportaal; wizportaal; optioneel; configureerbaar; epic-10; contactpersoon","2","New","Verius","Verius",""
"User Story","","","S10.4.2: Toegang en rechten van contactpersoon regelen","<p>Als gemeente</p><p>Ik wil de toegang en rechten van een contactpersoon kunnen regelen</p><p>Zodat deze alleen ziet/doet wat is toegestaan</p>","<ul><li>Toegang (inzage in traject) en rechten zijn per contactpersoon en per Integraal Plan instelbaar</li><li>Een contactpersoon ziet/doet niet meer dan toegestaan</li><li>Het contactpersonenportaal is als geheel aan/uit te zetten en afhankelijk van de WIZportaal-koppeling</li></ul>","3","inwonerportaal; wizportaal; optioneel; configureerbaar; epic-10; contactpersoon","2","New","Verius","Verius",""
"User Story","","","S10.4.3: Inloggegevens automatisch ontvangen","<p>Als contactpersoon</p><p>Ik wil automatisch mijn inloggegevens ontvangen</p><p>Zodat ik direct toegang heb</p>","<ul><li>De contactpersoon ontvangt automatisch een e-mail met de inloggegevens voor het contactpersonenportaal</li><li>De toegestuurde inloggegevens geven toegang tot het juiste portaal</li><li>Zonder bekend e-mailadres wordt geen mislukte verzending afgedwongen</li></ul>","3","inwonerportaal; wizportaal; optioneel; configureerbaar; epic-10; contactpersoon","2","New","Verius","Verius",""
"Feature","","Alternatieve Toegang En Inlog (optioneel)","","<p>Biedt de optionele WIZ-variant van inloggen op het inwonerportaal via dezelfde URL als WIZportaal, met een optionele DigiD-koppeling zonder machtigingsservice. Deze variant is configureerbaar en staat los van de verplichte DigiD-inlog in Epic 1.</p>","<ul><li>Inloggen gaat via dezelfde URL als WIZportaal (voor professionals)</li><li>Een DigiD-koppeling is optioneel (zonder machtigingsservice)</li><li>Of en hoe DigiD-inlog wordt gebruikt is instelbaar</li><li>Deze WIZ-variant staat los van de verplichte DigiD-inlog in Epic 1 voor het X-Works-portaal</li></ul>","","inwonerportaal; wizportaal; optioneel; configureerbaar; epic-10; inlog","2","New","Verius","Verius",""
